ID;UF;LON;LAT;ANNUAL
459;RS;-538.490;-312.005;4517
460;RS;-537.490;-312.005;4519
461;RS;-536.490;-312.005;4487
462;RS;-535.490;-312.005;4470
463;RS;-534.490;-312.005;4467
464;RS;-533.490;-312.005;4437
465;RS;-532.490;-312.005;4419
466;RS;-531.490;-312.005;4405
467;RS;-530.490;-312.005;4398
468;RS;-529.490;-312.005;4412
469;RS;-528.490;-312.005;4410
470;RS;-527.490;-312.005;4385
471;RS;-526.490;-312.005;4371
472;RS;-525.490;-312.005;4363
473;RS;-524.490;-312.005;4336
474;RS;-523.490;-312.005;4302
475;RS;-522.490;-312.005;4291
476;RS;-521.490;-312.005;4298
477;RS;-520.490;-312.005;4307
478;RS;-519.490;-312.005;4331
479;RS;-518.490;-312.005;4351
480;RS;-517.490;-312.005;4380
481;RS;-516.490;-312.005;4436
482;RS;-515.490;-312.005;4513
483;RS;-514.490;-312.005;4537
484;RS;-513.490;-312.005;4543
485;RS;-512.490;-312.005;4514
486;RS;-511.490;-312.005;4453
487;RS;-510.490;-312.005;4439
488;RS;-509.490;-312.005;4375
489;RS;-508.490;-312.005;4373
490;RS;-560.490;-311.005;4749
491;RS;-559.490;-311.005;4720
492;RS;-558.490;-311.005;4678
493;RS;-553.490;-311.005;4602
494;RS;-552.490;-311.005;4621
495;RS;-551.490;-311.005;4626
496;RS;-550.490;-311.005;4631
497;RS;-549.490;-311.005;4628
498;RS;-548.490;-311.005;4627
499;RS;-547.490;-311.005;4611
500;RS;-546.490;-311.005;4603
501;RS;-545.490;-311.005;4610
502;RS;-544.490;-311.005;4603
503;RS;-543.490;-311.005;4600
504;RS;-542.490;-311.005;4589
505;RS;-541.490;-311.005;4565
506;RS;-540.490;-311.005;4545
507;RS;-539.490;-311.005;4522
508;RS;-538.490;-311.005;4522
509;RS;-537.490;-311.005;4514
510;RS;-536.490;-311.005;4494
511;RS;-535.490;-311.005;4474
512;RS;-534.490;-311.005;4471
513;RS;-533.490;-311.005;4455
514;RS;-532.490;-311.005;4433
515;RS;-531.490;-311.005;4407
516;RS;-530.490;-311.005;4400
517;RS;-529.490;-311.005;4410
518;RS;-528.490;-311.005;4414
519;RS;-527.490;-311.005;4384
520;RS;-526.490;-311.005;4372
521;RS;-525.490;-311.005;4374
522;RS;-524.490;-311.005;4354
